Keyword,TF-IDF_Score
changi,0.07829749310801332
terminal,0.06675259789831783
company,0.0650374471063143
minister,0.06349294018037155
service,0.06279365999415057
business,0.0572777819093265
government,0.055421598217723946
would,0.054994414211303966
people,0.05015683944046329
three,0.049882272202724495
group,0.049753913130920646
month,0.04953772532041346
point,0.04636000479355585
billion,0.04361637087450278
may,0.04325387841231448
market,0.04285405090568953
security,0.04231109835278057
hotel,0.042236564928194734
say,0.04183808304975029
added,0.04169977204322513
system,0.04166939014002453
china,0.040767991604237434
top,0.04065767029430946
global,0.04041832441857096
last,0.040309040620067765
including,0.040120604535115914
experience,0.04010486964312669
per,0.03989620448752928
work,0.03973057631551731
public,0.03922320779358707
long,0.039216193224976
state,0.03885206314974594
way,0.037196839895995426
get,0.036726557732457664
even,0.03631374213797922
data,0.036142963164219506
asia,0.03610073540064421
customer,0.035803764122920946
lounge,0.03575157102690659
statement,0.035546925406379104
area,0.035350902966564055
take,0.03524637392791271
best,0.03515318672753742
make,0.03503267068827093
operation,0.03483605657460054
hub,0.03473530324393111
national,0.03473166408662504
card,0.03465409320503382
still,0.03441759750014691
around,0.03405346140457817
class,0.03401755023552429
four,0.03383561224302771
well,0.03353391892447491
back,0.03350587661022824
future,0.03347690468935509
lee,0.03329813839716704
change,0.0332830054711086
plane,0.032809689340999794
cost,0.0327622341415112
made,0.03273985149041212
need,0.03249046846741388
cent,0.03211896272266247
number,0.03198674920557866
hour,0.03188249519114001
part,0.03187888187399319
across,0.0318020490253451
based,0.03174502970989015
india,0.031422892442897726
high,0.031323901972676926
want,0.03128441579767781
plan,0.030819981693012623
many,0.029884263672230748
use,0.02983944690656074
building,0.029763598009632294
see,0.02968532057166038
place,0.029611530606652104
next,0.02954547110541676
told,0.029235173881592347
another,0.0288927297895245
food,0.028567916020990427
united,0.028349236231358935
night,0.027753522630279383
offer,0.027631607933207153
price,0.027371475295482627
free,0.027342981246560965
minute,0.027324011129106096
come,0.025281247581011683
however,0.024575855478566555
space,0.024547940785033834
good,0.02435122231849258
seat,0.024053762439518605
mile,0.02377172924004476
economy,0.023593729435293517
full,0.022366193731466796
carrier,0.02217192227588581
room,0.022002794603284262
dont,0.02169213570281438
london,0.02022395040471674
airway,0.01906978735914444
toilet,0.007422516280482459
