Keyword,TF-IDF_Score
back,0.13167533646799767
photo,0.10445660051846634
animal,0.08742807708030723
business,0.08535490271442045
seen,0.07917710660661298
hotel,0.07624618255734789
womens,0.07298342085238027
cabin,0.07247104317096584
arrival,0.07155062173009331
boeing,0.06847588540881627
seat,0.06831479157649281
exo,0.0627245966359599
lay,0.0627245966359599
group,0.060319178289747186
china,0.05998325831599829
chinese,0.05993678044056965
team,0.059373748995858684
minute,0.057503419406160446
service,0.056770601518604163
seemed,0.05160513162750004
around,0.05095988878262067
may,0.04907132016605206
economy,0.04577988945866406
route,0.04439107755492597
soon,0.042262838184748054
many,0.04154249665905421
held,0.036380858390051174
member,0.03632994138180553
would,0.03540639114018855
check,0.03309142363054698
terminal,0.032030003935377756
flying,0.03123029375713001
whilst,0.030968584240208534
making,0.030848050840279948
film,0.03030037199801946
asia,0.029848457363595933
shandong,0.029815815524389774
made,0.029212995344081477
way,0.02895954645776365
experience,0.028938752076800293
later,0.02719564993424855
yantai,0.026077167676785213
crew,0.025757549824013987
looking,0.02546057265700315
sky,0.025207123770685326
carrier,0.02503815784647344
people,0.02492804512155597
found,0.0248526377013846
little,0.024504002009541635
war,0.024408858489915995
repatriation,0.024408858489915995
killed,0.024408858489915995
ceremony,0.024408858489915995
however,0.02407478986383097
nov,0.022531253990691686
soldier,0.022531253990691686
liu,0.022531253990691686
casket,0.022531253990691686
short,0.021996906380596943
remains,0.021317890707556048
evening,0.020839422625776156
volunteer,0.020653649491467377
martyr,0.020653649491467377
containing,0.020416379422438746
departure,0.01968193887095537
outside,0.019004775414392404
across,0.018908711354740843
eastern,0.018908711354740843
gate,0.018231547898177873
door,0.01812170332325973
runway,0.017943355719223182
boarding,0.017751227599920056
english,0.01765516354026849
rather,0.017559099480616926
make,0.017476001464209696
kunming,0.01717012820300865
away,0.017019278203062017
stop,0.01659374384509927
long,0.01659374384509927
immigration,0.01659374384509927
following,0.016486645061524117
window,0.016254784931288076
announcement,0.015628388209581612
onboard,0.01456696851441239
journey,0.014535243707446518
came,0.014374840395109261
pas,0.01331342069994004
arrived,0.013217356640288478
given,0.013121292580636915
seeing,0.012668325315474863
screen,0.012348065064422382
desk,0.012252001004770818
upon,0.012252001004770818
heading,0.012155936945119256
thus,0.011963808825816128
form,0.011867744766164565
number,0.011382709428904726
took,0.01128664536925316
train,0.011094517249950035
queue,0.010902389130646907
