Keyword,TF-IDF_Score
changi,0.0970730037878823
service,0.0646113164777511
market,0.06394539642101206
terminal,0.06385027984808216
three,0.05439823273697342
plane,0.0529505656240749
people,0.05101334575244923
experience,0.05024670835968763
may,0.05000951370563583
business,0.04986794424451585
area,0.04875732449885529
asia,0.04777088580048531
hotel,0.04776386157418676
company,0.046048663968675164
would,0.04567655728609634
india,0.04473705976025439
group,0.044026948544417244
including,0.043488346698687695
best,0.043154395333882725
around,0.042840441375717506
hour,0.0427275220407
added,0.04221959181842807
risk,0.04162589191029275
class,0.04074654369602489
per,0.04070569346159535
offer,0.040227096071326275
back,0.039960918536072296
seat,0.039840664638549815
get,0.039812325342605974
system,0.0396136385898914
global,0.03956832101793571
take,0.0392105465988652
home,0.03875622860772067
lounge,0.038413084366536135
month,0.03818307136380582
family,0.03813253341334614
check,0.03799818156573886
well,0.037731610539752596
work,0.037391240879718866
across,0.03733628343378102
long,0.03657209804161719
customer,0.03620966425745866
china,0.03615060064086228
even,0.03570304591344027
last,0.03568394402807077
point,0.03521025568431468
make,0.0346233415413367
way,0.03448654462641481
security,0.03395234599152508
cost,0.03378330598193834
hub,0.03322695920249761
video,0.03306400157376848
rate,0.032809499891755155
part,0.03280668331708192
destination,0.032486171517207056
top,0.0322099297927047
next,0.032066059373241446
many,0.03162386351787059
space,0.03153398104724197
use,0.031021177446710402
room,0.03075108240520783
need,0.030451216610772932
high,0.030174488950932547
award,0.029967123130548917
report,0.02991192266211761
cent,0.028948384102974508
still,0.028945627026505393
billion,0.02800324608651187
iran,0.027796540854379038
region,0.02753505766337399
demand,0.02692626096078148
story,0.026689707428350577
industry,0.026676096522761216
card,0.02664688013511554
technology,0.026612817292997186
fed,0.025228805344497666
economy,0.025201854419020255
park,0.0250633617372567
growth,0.024905200722531752
product,0.02463902439123508
price,0.02452549412927157
data,0.0239948801220911
stay,0.02386629139050984
key,0.023639444769260554
higher,0.023528974815279484
bank,0.023497733231138317
premium,0.022675317097201816
energy,0.02165397327123458
inflation,0.02130486870339706
article,0.019067525315449765
continue,0.018638544819806774
fly,0.01734562880808348
live,0.017088391969530294
reach,0.01268980216412042
attraction,0.012454249833129746
page,0.009885199426512496
mode,0.005203546264090083
edit,0.0016357422139336923
homepage,0.0012563192247750197
modedata,0.0002261600646521795
